ID,Measure,Subject,,SubCategory,HebSubject,HebCategory,HebSubCategory,Year
ST01Q01,International Grade,Me,,,מאפייני התלמיד,,,2012
ST02Q01,National Study Programme,Me,,,מאפייני התלמיד,כיתה,,2012
ST03Q01,Birth - Month,Me,,Month,מאפייני התלמיד,תאריך לידה,חודש,2012
ST03Q02,Birth -Year,Me,,Year,מאפייני התלמיד,תאריך לידה,שנה,2012
ST04Q01,Gender,Me,,,מאפייני התלמיד,מין,,2012
ST05Q01,Attend <ISCED 0>,Me,,,מאפייני התלמיד,האם הלכת לגן ילדים (לא כולל מעונות ומשפחתונים),,2012
ST06Q01,Age at <ISCED 1>,Me,,,מאפייני התלמיד,באיזה גיל התחלת ללכת לכיתה א',,2012
ST07Q01,Repeat - <ISCED 1>,Me,,<ISCED 1>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות א-ו,2012
ST07Q02,Repeat - <ISCED 2>,Me,,<ISCED 2>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות ז-ט,2012
ST07Q03,Repeat - <ISCED 3>,Me,,<ISCED 3>,מאפייני התלמיד,האם נשארת כיתה אי פעם,כיתות י-יב,2012
ST08Q01,Truancy - Late for School,Me,,Late for School,מאפייני התלמיד,העדרות מבית הספר,איחור,2012
ST09Q01,Truancy - Skip whole school day,Me,,Skip whole school day,מאפייני התלמיד,העדרות מבית הספר,העדרות מיום לימודים,2012
ST115Q01,Truancy - Skip classes within school day,Me,,Skip classes within school day,מאפייני התלמיד,העדרות מבית הספר,העדרות משיעור,2012
ST11Q01,At Home - Mother,Family and Home,,Mother,משפחה ובית,מי גר איתך בבית,אמא,2012
ST11Q02,At Home - Father,Family and Home,,Father,משפחה ובית,מי גר איתך בבית,אבא,2012
ST11Q03,At Home - Brothers,Family and Home,,Brothers,משפחה ובית,מי גר איתך בבית,אחים,2012
ST11Q04,At Home - Sisters,Family and Home,,Sisters,משפחה ובית,מי גר איתך בבית,אחיות,2012
ST11Q05,At Home - Grandparents,Family and Home,,Grandparents,משפחה ובית,מי גר איתך בבית,סבים,2012
ST11Q06,At Home - Others,Family and Home,,Others,משפחה ובית,מי גר איתך בבית,אחרים (בני דודים),2012
ST13Q01,Mother<Highest Schooling>,Family and Home,,Highest Schooling,משפחה ובית,השכלת האם,"השכלה מרבית
",2012
ST14Q01,Mother Qualifications - <ISCED level 6>,Family and Home,,<ISCED level 6>,משפחה ובית,השכלת האם,תואר שלישי,2012
ST14Q02,Mother Qualifications - <ISCED level 5A>,Family and Home,,<ISCED level 5A>,משפחה ובית,השכלת האם,תואר ראשון/שני,2012
ST14Q03,Mother Qualifications - <ISCED level 5B>,Family and Home,,<ISCED level 5B>,משפחה ובית,השכלת האם,לימודי תעודה,2012
ST14Q04,Mother Qualifications - <ISCED level 4>,Family and Home,,<ISCED level 4>,משפחה ובית,השכלת האם,תעודת בגרות,2012
ST15Q01,Mother Current Job Status,Family and Home,,Current Job Status,משפחה ובית,עבודת האם,עבודה נוכחית,2012
