"","Year","Country","Subject","Gender","Performers","ESCS","Average","GenderESCS"
"1",2015,"Albania","Science","0","0","0",427.224982696589,"General"
"2",2015,"Algeria","Science","0","0","0",375.745102099554,"General"
"3",2015,"Australia","Science","0","0","0",509.993854172698,"General"
"4",2015,"Austria","Science","0","0","0",495.037486507838,"General"
"5",2015,"Belgium","Science","0","0","0",501.999713697555,"General"
"6",2015,"Brazil","Science","0","0","0",400.682103136907,"General"
"7",2015,"Bulgaria","Science","0","0","0",445.771957840444,"General"
"8",2015,"Canada","Science","0","0","0",527.704684316973,"General"
"9",2015,"Chile","Science","0","0","0",446.956066377907,"General"
"10",2015,"Chinese Taipei","Science","0","0","0",532.347454577061,"General"
"11",2015,"Colombia","Science","0","0","0",415.728760636962,"General"
"12",2015,"Costa Rica","Science","0","0","0",419.608033142907,"General"
"13",2015,"Croatia","Science","0","0","0",475.391176801643,"General"
"14",2015,"Czech Republic","Science","0","0","0",492.830048277688,"General"
"15",2015,"Denmark","Science","0","0","0",501.936886995604,"General"
"16",2015,"Dominican Republic","Science","0","0","0",331.638827212126,"General"
"17",2015,"Estonia","Science","0","0","0",534.193742103858,"General"
"18",2015,"Finland","Science","0","0","0",530.66115863919,"General"
"19",2015,"France","Science","0","0","0",494.977600300835,"General"
"20",2015,"Georgia","Science","0","0","0",411.131523946202,"General"
"21",2015,"Germany","Science","0","0","0",509.140647291889,"General"
"22",2015,"Greece","Science","0","0","0",454.828816610337,"General"
"23",2015,"Hong Kong","Science","0","0","0",523.27744775744,"General"
"24",2015,"Hungary","Science","0","0","0",476.747512394464,"General"
"25",2015,"Iceland","Science","0","0","0",473.230086087275,"General"
"26",2015,"Indonesia","Science","0","0","0",403.099744989316,"General"
"27",2015,"Ireland","Science","0","0","0",502.575115525619,"General"
"28",2015,"Israel","Science","0","0","0",466.552812143573,"General"
"29",2015,"Italy","Science","0","0","0",480.546762444985,"General"
"30",2015,"Japan","Science","0","0","0",538.394751024672,"General"
"31",2015,"Jordan","Science","0","0","0",408.669113400074,"General"
"32",2015,"Korea","Science","0","0","0",515.809911335923,"General"
"33",2015,"Kosovo","Science","0","0","0",378.442185056875,"General"
"34",2015,"Lebanon","Science","0","0","0",386.485372462649,"General"
"35",2015,"Latvia","Science","0","0","0",490.225018282252,"General"
"36",2015,"Lithuania","Science","0","0","0",475.408946556724,"General"
"37",2015,"Luxembourg","Science","0","0","0",482.80638364844,"General"
"38",2015,"Macao","Science","0","0","0",528.549600188707,"General"
"39",2015,"Malta","Science","0","0","0",464.781964653004,"General"
"40",2015,"Mexico","Science","0","0","0",415.709882957911,"General"
"41",2015,"Moldova","Science","0","0","0",427.997805666988,"General"
"42",2015,"Montenegro","Science","0","0","0",411.313648172746,"General"
"43",2015,"Netherlands","Science","0","0","0",508.574806256043,"General"
"44",2015,"New Zealand","Science","0","0","0",513.303512129503,"General"
"45",2015,"Norway","Science","0","0","0",498.481108995194,"General"
"46",2015,"Peru","Science","0","0","0",396.683648445641,"General"
"47",2015,"Poland","Science","0","0","0",501.435331918244,"General"
"48",2015,"Portugal","Science","0","0","0",501.100062142491,"General"
"49",2015,"Puerto Rico (USA)","Science","0","0","0",402.654536217595,"General"
"50",2015,"Qatar","Science","0","0","0",417.611130155385,"General"
"51",2015,"Romania","Science","0","0","0",434.88486177329,"General"
