"","cntSchId","",""
"1","Intl. School ID","School_Language","Lang_Pikuach"
"2","37600001","Hebrew Speakers","Hebrew Ultra-Orthodox"
"3","37600002","Hebrew Speakers","Hebrew Secular"
"4","37600003","Hebrew Speakers","Hebrew Secular"
"5","37600004","Arabic Speakers","Arabic Secular"
"6","37600005","Hebrew Speakers","Hebrew Secular"
"7","37600006","Arabic Speakers","Arabic Secular"
"8","37600007","Hebrew Speakers","Hebrew Secular"
"9","37600008","Arabic Speakers","Arabic Secular"
"10","37600009","Hebrew Speakers","Hebrew Secular"
"11","37600010","Hebrew Speakers","Hebrew Secular"
"12","37600011","Arabic Speakers","Arabic Secular"
"13","37600012","Hebrew Speakers","Hebrew Secular"
"14","37600013","Hebrew Speakers","Hebrew Secular"
"15","37600014","Hebrew Speakers","Hebrew Secular"
"16","37600015","Hebrew Speakers","Hebrew Secular"
"17","37600016","Hebrew Speakers","Hebrew Secular"
"18","37600017","Hebrew Speakers","Hebrew Secular"
"19","37600018","Hebrew Speakers","Hebrew Religious"
"20","37600019","Arabic Speakers","Arabic Secular"
"21","37600020","Arabic Speakers","Hebrew Others"
"22","37600021","Arabic Speakers","Arabic Secular"
"23","37600022","Arabic Speakers","Arabic Secular"
"24","37600023","Hebrew Speakers","Hebrew Ultra-Orthodox"
"25","37600024","Hebrew Speakers","Hebrew Others"
"26","37600025","Arabic Speakers","Arabic Secular"
"27","37600026","Hebrew Speakers","Hebrew Secular"
"28","37600027","Hebrew Speakers","Hebrew Secular"
"29","37600028","Hebrew Speakers","Hebrew Ultra-Orthodox"
"30","37600029","Hebrew Speakers","Hebrew Ultra-Orthodox"
"31","37600030","Arabic Speakers","Arabic Secular"
"32","37600031","Hebrew Speakers","Hebrew Secular"
"33","37600032","Hebrew Speakers","Hebrew Religious"
"34","37600033","Hebrew Speakers","Hebrew Secular"
"35","37600034","Hebrew Speakers","Hebrew Others"
"36","37600035","Hebrew Speakers","Hebrew Religious"
"37","37600036","Arabic Speakers","Arabic Secular"
"38","37600037","Hebrew Speakers","Hebrew Secular"
"39","37600038","Arabic Speakers","Arabic Secular"
"40","37600039","Hebrew Speakers","Hebrew Religious"
"41","37600040","Hebrew Speakers","Hebrew Secular"
"42","37600041","Hebrew Speakers","Hebrew Secular"
"43","37600042","Hebrew Speakers","Hebrew Secular"
"44","37600043","Arabic Speakers","Arabic Secular"
"45","37600044","Hebrew Speakers","Hebrew Secular"
"46","37600045","Hebrew Speakers","Hebrew Secular"
"47","37600046","Hebrew Speakers","Hebrew Secular"
"48","37600047","Hebrew Speakers","Hebrew Secular"
"49","37600048","Hebrew Speakers","Hebrew Religious"
"50","37600050","Hebrew Speakers","Hebrew Secular"
"51","37600051","Hebrew Speakers","Hebrew Secular"
"52","37600052","Arabic Speakers","Arabic Secular"
"53","37600053","Hebrew Speakers","Hebrew Secular"
"54","37600054","Hebrew Speakers","Hebrew Secular"
"55","37600055","Arabic Speakers","Arabic Secular"
"56","37600056","Hebrew Speakers","Hebrew Secular"
"57","37600057","Hebrew Speakers","Hebrew Religious"
"58","37600058","Hebrew Speakers","Hebrew Religious"
"59","37600059","Arabic Speakers","Arabic Secular"
"60","37600060","Arabic Speakers","Hebrew Others"
"61","37600061","Hebrew Speakers","Hebrew Ultra-Orthodox"
"62","37600062","Arabic Speakers","Arabic Secular"
"63","37600063","Arabic Speakers","Arabic Secular"
"64","37600064","Arabic Speakers","Arabic Secular"
"65","37600065","Hebrew Speakers","Hebrew Ultra-Orthodox"
"66","37600066","Arabic Speakers","Arabic Secular"
"67","37600067","Hebrew Speakers","Hebrew Secular"
"68","37600068","Hebrew Speakers","Hebrew Secular"
"69","37600069","Hebrew Speakers","Hebrew Secular"
"70","37600070","Hebrew Speakers","Hebrew Secular"
"71","37600071","Hebrew Speakers","Hebrew Religious"
"72","37600072","Hebrew Speakers","Hebrew Religious"
"73","37600073","Hebrew Speakers","Hebrew Secular"
"74","37600074","Hebrew Speakers","Hebrew Secular"
"75","37600075","Hebrew Speakers","Hebrew Ultra-Orthodox"
"76","37600076","Hebrew Speakers","Hebrew Ultra-Orthodox"
"77","37600077","Hebrew Speakers","Hebrew Ultra-Orthodox"
"78","37600078","Hebrew Speakers","Hebrew Secular"
"79","37600079","Hebrew Speakers","Hebrew Secular"
"80","37600080","Hebrew Speakers","Hebrew Secular"
"81","37600081","Arabic Speakers","Arabic Secular"
"82","37600082","Hebrew Speakers","Hebrew Religious"
"83","37600083","Hebrew Speakers","Hebrew Secular"
"84","37600084","Hebrew Speakers","Hebrew Religious"
"85","37600085","Hebrew Speakers","Hebrew Secular"
"86","37600086","Arabic Speakers","Arabic Secular"
"87","37600087","Arabic Speakers","Arabic Secular"
"88","37600088","Arabic Speakers","Arabic Secular"
"89","37600089","Hebrew Speakers","Hebrew Secular"
"90","37600090","Hebrew Speakers","Hebrew Secular"
"91","37600091","Hebrew Speakers","Hebrew Secular"
"92","37600092","Hebrew Speakers","Hebrew Ultra-Orthodox"
"93","37600093","Hebrew Speakers","Hebrew Secular"
"94","37600094","Hebrew Speakers","Hebrew Secular"
"95","37600095","Hebrew Speakers","Hebrew Secular"
"96","37600096","Hebrew Speakers","Hebrew Secular"
"97","37600097","Hebrew Speakers","Hebrew Secular"
"98","37600098","Hebrew Speakers","Hebrew Secular"
"99","37600099","Arabic Speakers","Arabic Secular"
"100","37600100","Hebrew Speakers","Hebrew Secular"
"101","37600101","Hebrew Speakers","Hebrew Secular"
"102","37600102","Hebrew Speakers","Hebrew Ultra-Orthodox"
"103","37600103","Arabic Speakers","Arabic Secular"
"104","37600104","Hebrew Speakers","Hebrew Secular"
"105","37600105","Hebrew Speakers","Hebrew Religious"
"106","37600106","Hebrew Speakers","Hebrew Religious"
"107","37600107","Hebrew Speakers","Hebrew Secular"
"108","37600108","Hebrew Speakers","Hebrew Religious"
"109","37600109","Hebrew Speakers","Hebrew Secular"
"110","37600110","Hebrew Speakers","Hebrew Secular"
"111","37600111","Hebrew Speakers","Hebrew Secular"
"112","37600112","Hebrew Speakers","Hebrew Secular"
"113","37600113","Hebrew Speakers","Hebrew Secular"
"114","37600114","Hebrew Speakers","Hebrew Religious"
"115","37600115","Hebrew Speakers","Hebrew Ultra-Orthodox"
"116","37600116","Hebrew Speakers","Hebrew Ultra-Orthodox"
"117","37600117","Arabic Speakers","Arabic Secular"
"118","37600118","Arabic Speakers","Arabic Secular"
"119","37600119","Arabic Speakers","Arabic Secular"
"120","37600120","Hebrew Speakers","Hebrew Ultra-Orthodox"
"121","37600121","Hebrew Speakers","Hebrew Secular"
"122","37600122","Arabic Speakers","Arabic Secular"
"123","37600123","Arabic Speakers","Arabic Secular"
"124","37600124","Hebrew Speakers","Hebrew Ultra-Orthodox"
"125","37600125","Hebrew Speakers","Hebrew Religious"
"126","37600126","Hebrew Speakers","Hebrew Secular"
"127","37600127","Arabic Speakers","Arabic Secular"
"128","37600128","Hebrew Speakers","Hebrew Secular"
"129","37600129","Hebrew Speakers","Hebrew Religious"
"130","37600130","Hebrew Speakers","Hebrew Religious"
"131","37600131","Hebrew Speakers","Hebrew Secular"
"132","37600132","Arabic Speakers","Arabic Secular"
"133","37600133","Hebrew Speakers","Hebrew Secular"
"134","37600134","Hebrew Speakers","Hebrew Ultra-Orthodox"
"135","37600135","Hebrew Speakers","Hebrew Secular"
"136","37600136","Hebrew Speakers","Hebrew Secular"
"137","37600137","Hebrew Speakers","Hebrew Secular"
"138","37600138","Hebrew Speakers","Hebrew Religious"
"139","37600139","Arabic Speakers","Arabic Secular"
"140","37600140","Arabic Speakers","Arabic Secular"
"141","37600141","Hebrew Speakers","Hebrew Religious"
"142","37600142","Hebrew Speakers","Hebrew Secular"
"143","37600143","Arabic Speakers","Arabic Secular"
"144","37600144","Hebrew Speakers","Hebrew Ultra-Orthodox"
"145","37600145","Hebrew Speakers","Hebrew Ultra-Orthodox"
"146","37600146","Hebrew Speakers","Hebrew Secular"
"147","37600147","Arabic Speakers","Arabic Secular"
"148","37600148","Arabic Speakers","Arabic Secular"
"149","37600149","Hebrew Speakers","Hebrew Religious"
"150","37600150","Hebrew Speakers","Hebrew Religious"
